"experience_id","position_id","name","description","hyperlink","start_date","end_date"
"1","2","Senior Capstone","Created a Driven Connect Application, Server, and Backend Web-App to assist users in communication with Driven-4 connectivity boards","http://www.capstone.cse.msu.edu/2023-01/projects/driven-4/","2023-01-01","2023-05-01"
"2","3","CSE 435 SRS Document","Developed a Software Requirements Specification document for a Pedestrian Collision
Avoidance System (PCAS) ensuring zero collisions under set environments.","https://www.dataspeedinc.com/","2022-10-01","2022-12-01"
